reference|nom|prix_ttc|base_lppr|code_lppr|categorie|badges|image_url|description|points_forts|expert|specs|documents|recommande
HX_GLOLH04AOP|Distributeur pour essuie-mains à dévidage central|21.77||||||"""""Le distributeur pour rouleau mini à dévidage central. Matière : ABS  Dimensions  : 366 x 184 x 167 mm. Coloris : blanc. Remplace GLOLH54ABU. A remplir avec les essuie-mains suivants :  GLOH210LMR - GLOH710POT• Matériau robuste : conçu en ABS, un plastique résistant aux chocs et à l’usure, ce distributeur mural offre une excellente stabilité et une durabilité remarquable dans le temps.• Utilisation pratique : doté d’un système de dévidage central, il permet une distribution rapide et fluide des essuie-mains, simplifiant ainsi l’usage quotidien.• Format peu encombrant : avec ses dimensions compactes de 366 x 184 x 167 mm, ce modèle mural s’intègre facilement dans les espaces réduits sans compromettre la fonctionnalité.• Esthétique soignée : sa finition blanche et son design épuré lui permettent de s’harmoniser avec tous les styles d’intérieur, apportant une touche moderne et discrète.• Parfaite compatibilité : conçu pour remplacer le modèle GLOLH54ABU, ce distributeur est parfaitement adapté aux rouleaux mini à dévidage central, assurant une transition simple et efficace avec les équipements existants."""""|||||
HX_GLOT100BNR|Sac poubelle noirs 100 litres|27.04||||||"""""Capacité : 100 litres. Dimensions : 82 x 85 cm. Epaisseur : 40 mµ. 8 rouleaux de 25 sacs.Sacs à déchets noirs à liens traditionnels. """""|||||
HX_GLOH251LSM|Essuie-mains pliés enchevêtrés W GM|26.31||||||"""""Essuie-mains extra doux, 100% pure ouate 22 x 34 cm pour distributeur. Pliage enchevêtré en W. 2 x 18 g/m². Le carton de 32 paquets de 100.• Essuie-mains extra doux, offrant un grand confort d'utilisation. • Fabriqués en 100% pure ouate de coton, garantissant une grande qualité• Dimensions adaptées aux distributeurs, permettant une utilisation optimale. • Pliage enchevêtré en forme de W, qui facilite le prélèvement des essuie-mains. • Carton de 32 paquets de 100, offrant une grande quantité pour une utilisation prolongée."""""|||||
HX_GLOJ266GSM|Rouleaux de draps d'examen plastifiés bleus - 50 x 38 cm|24.76||||||"""""Dimensions : 50 x 38 cm.   132 formats. Carton de 6 rouleaux. Ce produit garantit une protection optimale et un confort adapté aux besoins des professionnels de santé. Caractéristiques principales : • Matériau : Ouate plastifiée bleue, 1 face ouate absorbante + 1 face plastifiée étanche. • Confort : Doux et absorbant grâce à l’assemblage contre-collé ou gaufré collé. • Dimensions :  	o Laize : 50 cm. 	o Prédécoupe : 38 cm. 	o 132 formats. • Utilisation : Protection efficace des tables et divans d'examen médical. •  Hygiène : Surface plastifiée imperméable, idéale pour un usage médical."""""|||||
HX_GLOH256MSM|Essuie-mains pliage en Z - Large|32.96||||||"""""100% pure ouate 150 formats 24x24 cmEssuie-mains pliés en Z • Essuie-mains gaufrés collés 24 x 24cm.• Pliage enchevêtré en Z. • 2 plis. • Ecolabel."""""|||||
HX_GLOLH75ABL|Distributeur pour rouleaux essuie-mains|18.46||||||"""""Unité.Distributeur pour rouleaux essuie-mains Dévidage central moyen. Utilisation laboratoires, cuisines, toilettes bureaux ou collectivités, milieu hospitalier.  	Largeur 23 x Hauteur 33,4 x Profondeur 23 cm. Laize utile : jusqu'à 23 cm    Diamètre utile : jusqu'à 20,5 cm 	Fabriqué intégralement en matière ABS blanc de haute qualité et résistance. 	Fermeture à clé. 	Coloris blanc. """""|||||
HX_GLOLH76ABL|Distributeur ABS pour essuie-mains pliés|18.99||||||"""""Le distributeur. Matière : ABS.Distributeur ABS pour essuie-mains pliés Une solution pratique, sécurisée et éprouvée pour répondre à vos besoins en matière d'hygiène et de fonctionnalité. Caractéristiques : 	 	Fermeture à clé garantissant la sécurité des essuie-mains pliés, offrant une solution fiable pour la gestion de l'hygiène dans divers espaces. 	 	 	Partie frontale abattable facilitant le remplissage et le retrait des essuie-mains, assurant une gestion pratique et efficace du distributeur. 	 	 	Dimensions compactes de 27.5 x 36.5 x13 cm. 	Laize utile jusqu'à 26 cm.  	Capacité jusqu'à 600 essuie-mains. 	Matière ABS. 	 	 	Intégration aisée dans tous les espaces, que ce soit dans les cuisines, les salles de bains ou les espaces publics. 	 	 	Design élégant et discret s'adaptant à tous les décors, offrant une esthétique agréable tout en assurant une fonctionnalité optimale. 	 Vendu à l'unité.   """""|||||
HX_GLOLH29ATR|Distributeur à découpe automatique pour essuie-mains|47.67||||||"""""Le distributeur compact. Lame auto-affutable. Laize 20 cm. Fabriqué en ABS. Doté d’une fenêtre de visualisation du consommable. • Lame auto-affûtable : le distributeur à découpe automatique pour essuie-mains Compact dispose d'une lame auto-affûtable, ce qui garantit une coupe nette et précise à chaque utilisation. • Fabriqué en ABS : ce distributeur est fabriqué en ABS, un matériau robuste et résistant aux chocs, ce qui assure sa durabilité et sa longévité. • Fenêtre de visualisation du consommable : ce distributeur est doté d'une fenêtre de visualisation du consommable, ce qui permet de voir facilement le niveau de papier restant et de savoir quand le recharger. • Compact : ce distributeur a un format compact, ce qui lui permet de s'adapter à des espaces restreints tout en offrant une grande capacité de stockage d'essuie-mains."""""|||||
HX_DISHIJAMESTL|Pèse-personne impédancemètre James - Turquoise|14.99||||||"""""Coloris : turquoise. Capacité maximale : 180 kg. • Analyse corporelle complète : poids, masse grasse, masse osseuse, masse hydrique, masse musculaire, IMC, Kcal. • Durabilité : grâce à son plateau en verre trempé. • Performance : capacité maximale de 180kg. • Pour toute la famille : 10 mémoires utilisateurs. • Tranquillité : Piles incluses pour une tranquillité optimale. • Garantie : 15 ans. """""|||||
HX_DISHIJAMESWH|Pèse-personne impédancemètre James - Blanc|14.99||||||"""""Coloris : blanc. Capacité maximale : 180 kg. • Analyse corporelle complète : poids, masse grasse, masse osseuse, masse hydrique, masse musculaire, IMC, Kcal. • Durabilité : grâce à son plateau en verre trempé. • Performance : capacité maximale de 180kg. • Pour toute la famille : 10 mémoires utilisateurs. • Tranquillité : Piles incluses pour une tranquillité optimale. • Garantie : 15 ans."""""|||||
HX_DISHIJAMESBK|Pèse-personne impédancemètre James - Noir|14.95||||||"""""Coloris : noir. Capacité maximale : 180 kg. • Analyse corporelle complète : poids, masse grasse, masse osseuse, masse hydrique, masse musculaire, IMC, Kcal. • Durabilité : grâce à son plateau en verre trempé. • Performance : capacité maximale de 180kg. • Pour toute la famille : 10 mémoires utilisateurs. • Tranquillité : Piles incluses pour une tranquillité optimale. • Garantie : 15 ans."""""|||||
HX_DISHIJOHNBK|Pèse-personne électrique Noir|11.95||||||"""""Coloris : noir.Pèse-personne électrique John Noir Une lisibilité parfaite grâce à son grand écran avec grands chiffres.  	Durabilité : grâce à son plateau en verre trempé.  	Performance : capacité maximale de 180kg 	Qualité : Garantie 15 ans  	Tranquillité : Piles incluses pour une tranquillité optimale 	Disponible en plusieurs coloris : blanc, turquoise, noir. """""|||||
HX_DISHIJOHNWH|Pèse-personne électrique John Blanc|11.95||||||"""""Coloris : blanc.Pèse-personne électrique John Blanc Une lisibilité parfaite grâce à son grand écran avec grands chiffres.  	Durabilité : grâce à son plateau en verre trempé.  	Performance : capacité maximale de 180kg 	Qualité : Garantie 15 ans  	Tranquillité : Piles incluses pour une tranquillité optimale 	Disponible en plusieurs coloris : blanc, turquoise, noir. """""|||||
HX_HAR413004|Pansement RespoSorb® Silicone Border 16 x 26 cm|48.46||||||"""""Dimensions : 16 x 26 cm. Emballage individuel. Boîte de 10. Dispositif médical de classe IIb, certifié TÜV-0123.RespoSorb® Silicone Border est un pansement hydrocellulaire siliconé, auto-adhésif, stérile et à usage unique, conçu pour le traitement prolongé des plaies aiguës et chroniques. Il est indiqué pour la prise en charge de nombreuses plaies exsudatives, qu’elles soient aiguës (brûlures, plaies postopératoires, plaies traumatiques) ou chroniques (ulcères veineux, escarres, ulcères du pied diabétique, plaies tumorales). Utilisable chez l’adulte, il peut être appliqué aussi bien en milieu clinique qu'à domicile. Il peut être associé à des solutions nettoyantes, des antiseptiques locaux, des pansements primaires ou un moyen de fixation complémentaire si nécessaire. Son usage est compatible avec une thérapie de compression. RespoSorb® Silicone Border est destiné à être utilisé par des professionnels de santé, ou par des particuliers sous la supervision de ces derniers. Composition : • Couche de contact : silicone perforé facilitant l’application et limitant l’adhérence à la plaie. • Coussin absorbant : composé de cellulose et de polyacrylate superabsorbant (SAP), il capte et retient les exsudats. Ce coussin est enveloppé d’un tissu de cellulose hydrophile qui répartit les liquides de manière uniforme. • Face interne : non-tissé vert en polypropylène, hydrophobe, servant à identifier la face opposée à la plaie. • Film protecteur externe : film semi-perméable en polyuréthane, imperméable à l’eau mais perméable à l’air, permettant au patient de se doucher sans retirer le pansement.Caractéristiques : • Capacité d’absorption : minimum 40 g/100 cm² de coussin absorbant (conformément à la norme NF EN 13726-1, chapitre 3.3). • Stérilisation : réalisée à l’oxyde d’éthylène. • Sans latex, sans phtalates, sans colophane.Précautions d’emploi : • Lire attentivement la notice avant utilisation. • Ne pas utiliser en cas d’hypersensibilité connue à l’un des composants. • En cas d’effet indésirable, se référer à la notice d’emploi pour les recommandations appropriées.Conditions de conservation : • À conserver à plat dans un endroit propre et sec, à l’abri de l’humidité et de la lumière directe du soleil. • Durée de vie : 3 ans à partir de la date de fabrication."""""|||||
HX_HAR413003|Pansement RespoSorb® Silicone Border 15 x 15 cm|28.13||||||"""""Dimensions : 15 x 15 cm. Emballage individuel. Boîte de 10. Dispositif médical de classe IIb, certifié TÜV-0123.RespoSorb® Silicone Border est un pansement hydrocellulaire siliconé, auto-adhésif, stérile et à usage unique, conçu pour le traitement prolongé des plaies aiguës et chroniques. Il est indiqué pour la prise en charge de nombreuses plaies exsudatives, qu’elles soient aiguës (brûlures, plaies postopératoires, plaies traumatiques) ou chroniques (ulcères veineux, escarres, ulcères du pied diabétique, plaies tumorales). Utilisable chez l’adulte, il peut être appliqué aussi bien en milieu clinique qu'à domicile. Il peut être associé à des solutions nettoyantes, des antiseptiques locaux, des pansements primaires ou un moyen de fixation complémentaire si nécessaire. Son usage est compatible avec une thérapie de compression. RespoSorb® Silicone Border est destiné à être utilisé par des professionnels de santé, ou par des particuliers sous la supervision de ces derniers. Composition : • Couche de contact : silicone perforé facilitant l’application et limitant l’adhérence à la plaie. • Coussin absorbant : composé de cellulose et de polyacrylate superabsorbant (SAP), il capte et retient les exsudats. Ce coussin est enveloppé d’un tissu de cellulose hydrophile qui répartit les liquides de manière uniforme. • Face interne : non-tissé vert en polypropylène, hydrophobe, servant à identifier la face opposée à la plaie. • Film protecteur externe : film semi-perméable en polyuréthane, imperméable à l’eau mais perméable à l’air, permettant au patient de se doucher sans retirer le pansement.Caractéristiques : • Capacité d’absorption : minimum 40 g/100 cm² de coussin absorbant (conformément à la norme NF EN 13726-1, chapitre 3.3). • Stérilisation : réalisée à l’oxyde d’éthylène. • Sans latex, sans phtalates, sans colophane.Précautions d’emploi : • Lire attentivement la notice avant utilisation. • Ne pas utiliser en cas d’hypersensibilité connue à l’un des composants. • En cas d’effet indésirable, se référer à la notice d’emploi pour les recommandations appropriées.Conditions de conservation : • À conserver à plat dans un endroit propre et sec, à l’abri de l’humidité et de la lumière directe du soleil. • Durée de vie : 3 ans à partir de la date de fabrication."""""|||||
